"";"Estimate";"Std_Error";"t_value";"P_Value";"significancia";"agg";"Y_var";"table";"heterogenities"
"276";-0,404172961263749;0,327415526308423;-1,23443431599215;0,218909327550476;"";"ATT";"TOTPRE_100kPROF_COL";"base_ai";"PRIV"
"277";0,467207541666005;0,302311514404026;1,54545070037128;0,12318992652452;"";"ATT";"TOTPRE_100kPROF_COL";"base_ai";"PUBL"
"278";0,56371990303872;0,347859372117104;1,62053964395977;0,107136031983047;"";"ATT";"TOTPRE_100kPROF_COL";"base_10p";"PRIV"
"279";1,33970357495911;0,370004487832584;3,62077655545974;0,000339413714205744;"***";"ATT";"TOTPRE_100kPROF_COL";"base_10p";"PUBL"
"280";0,444415046161358;0,213777216012081;2,0788700239049;0,0392662563883824;".";"ATT";"TOTPRE_100kPROF_COL";"base_50p";"PRIV"
"281";0,107982976691891;0,270341641857922;0,399431533927878;0,689829790386656;"";"ATT";"TOTPRE_100kPROF_COL";"base_50p";"PUBL"
"282";-0,213909879800606;0,340587292324185;-0,62806183501702;0,530881801976083;"";"ATT";"TOTPRE_100kPROF_COL";"base_ic";"PRIV"
"283";0,486044905866111;0,307474737602539;1,58076370649482;0,114875745532685;"";"ATT";"TOTPRE_100kPROF_COL";"base_ic";"PUBL"
"284";0,0569672352979471;0,17804653612699;0,319956998530517;0,749429048895058;"";"ATT";"TOTPRE_100kPROF_COL";"base_ent";"PRIV"
"285";-0,266756818986317;0,184975719037041;-1,44211802703089;0,15021458352321;"";"ATT";"TOTPRE_100kPROF_COL";"base_ent";"PUBL"
"286";0,146695047246458;0,0608689712008351;2,41001358085128;0,0163201568063157;"*";"ATT";"finished_uni";"base_ai";"FALSE"
"287";0,0324804232122067;0,0727891984582695;0,446225867301285;0,65563081856485;"";"ATT";"finished_uni";"base_10p";"FALSE"
"288";-0,011660030642004;0,0376265834681244;-0,309888104825723;0,756776993864819;"";"ATT";"finished_uni";"base_50p";"FALSE"
"289";0,257265639267894;0,0792621967171482;3,24575459580008;0,00125104689023664;"***";"ATT";"finished_uni";"base_ic";"FALSE"
"290";-0,0723060443916193;0,138932714878133;-0,520439296497183;0,602992976325448;"";"ATT";"finished_uni";"base_ent";"FALSE"
"291";0,180103503320602;0,198935323554845;0,905336971344604;0,366683006845377;"";"ATT";"finished_uni";"base_ai";"PRIV"
"292";0,138098748775792;0,0522217586848719;2,64446759844183;0,00857064379790322;"**";"ATT";"finished_uni";"base_ai";"PUBL"
"293";0,0571161257044076;0,271282516744564;0,210541122921634;0,833518363164948;"";"ATT";"finished_uni";"base_10p";"PRIV"
"294";0,0532556259712341;0,0313157227803985;1,70060344270797;0,0899510888932583;"";"ATT";"finished_uni";"base_10p";"PUBL"
"295";-0,0449849846527588;0,142506758517136;-0,315669131210709;0,752672888341418;"";"ATT";"finished_uni";"base_50p";"PRIV"
"296";0,0266683888346255;0,0271585236804115;0,981952817039922;0,326831720925436;"";"ATT";"finished_uni";"base_50p";"PUBL"
"297";0,337165102030567;0,23606689970976;1,42826081269803;0,155203101857857;"";"ATT";"finished_uni";"base_ic";"PRIV"
"298";0,233846908931471;0,0717256083552953;3,26029871748319;0,00122727281983553;"***";"ATT";"finished_uni";"base_ic";"PUBL"
"299";-0,312008803944955;0,29573232784524;-1,05503786555331;0,293028869422134;"";"ATT";"finished_uni";"base_ent";"PRIV"
"300";0,0243177791073383;0,0215483030482018;1,12852409087349;0,259915926242987;"";"ATT";"finished_uni";"base_ent";"PUBL"
